v,x,y,yaw,s,km,kf
10,19.9694503471365,-9.97251477118007,-0.786944917606582,23.3363892358199,-0.060134178465547,0.03874430712344
10,25.0424490743073,-10.0341949545248,-0.785608221567722,27.973677559935,-0.041432489089373,-0.002755814472168
10,5.05337404703032,-5.00310192371831,-0.7585750754186,7.87627180783431,-0.294604638437591,0.589974230495409
10,10.0470448312211,-5.04287738126909,-0.77914580543483,11.7261670561392,-0.121278719404091,0.089083209767186
10,15.0720629277478,-5.02857941253992,-0.78111006246336,16.2838886818326,-0.060577589729133,-0.044950218441495
10,20.0202756418568,-5.02992194830641,-0.787810010752812,21.1483332619809,-0.035975880671703,-0.080485659970744
10,25.0532377943588,-5.05372189935135,-0.792056246262678,26.0724880028694,-0.023475957049072,-0.087616519121397
10,4.92035139101965,0.02729015846491,-0.752252203993985,4.9634466669393,-0.007537667500275,-0.830001160152639
10,9.98263372801997,0.014160452928221,-0.775233802929728,10.1645880350599,-0.003361130462753,-0.444783067558802
10,15.0177113206881,-0.03357542834754,-0.814472101449752,15.3175670720186,-0.002082633976889,-0.307317994478778
10,19.9364955234566,0.060906695874984,-0.763841959505958,20.2946084339301,-0.00041239331537,-0.22176576620637
10,24.9842340134872,0.002213464285431,-0.781996128023982,25.5999358246436,-0.001028561018363,-0.182317210404207
10,4.97844552481192,4.98989295746036,-0.86891756920189,8.07817570061295,0.290076861490476,-1.26957971439896
10,9.94892531925566,5.00952175852954,-0.751357405194146,11.8510665154827,0.118640400219232,-0.757482244613967
10,14.9465791894579,5.03891109103432,-0.735489104996637,16.5960986109489,0.056927492524119,-0.492352244863258
10,20.0448245521687,4.94469636717694,-0.802960934393408,21.4551779090272,0.033266631176459,-0.346244227287446
10,25.0596586403311,4.93911150785,-0.808323692371486,26.4470149962533,0.021589241623587,-0.263448183444774
10,5.04182006611231,9.96315524247086,-0.868409571075235,14.8636599546059,0.218757042866661,-1.01412685614171
10,15.054606847894,9.94378502684806,-0.835054358343607,20.0956733815645,0.086110076494088,-0.564533221758433
10,19.9444053021505,10.0474903962633,-0.755359045659839,24.1323719135396,0.057093468683072,-0.409066418458034
10,25.0065893663745,9.98908112669827,-0.798026525109419,28.6176840483644,0.039493859278578,-0.314783761410689
