v,x,y,yaw,s,km,kf
3,25.0424495308269,-10.0341941583596,-0.785608194163829,27.9734947030356,-0.041432476473456,-0.002756852458469
3,5.05337404703032,-5.00310192371831,-0.758575075418598,7.87627180783431,-0.294604638437591,0.589974230495408
3,10.0470448312211,-5.0428773812691,-0.77914580543483,11.7261670561392,-0.121278719404091,0.089083209767189
3,15.0720628136544,-5.02857914450095,-0.781110349062096,16.2838919328733,-0.060577592303733,-0.044950309200665
3,20.0202756417401,-5.02992194986161,-0.787810010419549,21.1483331314015,-0.035975880433035,-0.080485659233444
3,25.0532377943588,-5.05372189935158,-0.792056246262662,26.0724880108461,-0.023475957062476,-0.087616519173077
3,4.92035139101965,0.027290158464903,-0.752252203993991,4.9634466669393,-0.007537667500276,-0.830001160152643
3,9.98263372801997,0.014160452928223,-0.775233802929727,10.1645880350598,-0.003361130462752,-0.444783067558798
3,15.0177113206881,-0.033575428347491,-0.814472101449739,15.3175670720187,-0.002082633976888,-0.307317994478777
3,19.9364955234566,0.060906695875019,-0.763841959505949,20.2946084339301,-0.00041239331537,-0.221765766206368
3,24.9854728655679,0.014687266242168,-0.780875581188081,25.4234050315765,-0.000343624401271,-0.178570399751489
3,5.01980267867643,4.98081904293805,-0.823938248579448,8.13669487038009,0.283652812067213,-1.29235720989848
3,9.94933295114976,5.03180753608417,-0.730309458587827,11.9899199155992,0.114644411366264,-0.783551020114587
3,14.9465791894579,5.03891109103431,-0.73548910499663,16.596098610949,0.056927492524119,-0.492352244863258
3,20.0448245521687,4.94469636717693,-0.802960934393413,21.4551779090271,0.03326663117646,-0.346244227287442
3,25.0596586403311,4.93911150785003,-0.80832369237148,26.4470149962532,0.021589241623587,-0.263448183444772
3,5.03183763466279,9.97124741480493,-0.858493896998275,14.8263554770459,0.220252540006441,-1.00271082517358
3,9.98117357112053,9.99759446100562,-0.718261252073088,16.5001019156429,0.141638816611218,-0.757959851302432
3,15.054606847894,9.94378502684801,-0.835054358343609,20.0956733815644,0.086110076494089,-0.564533221758426
3,19.9444053021505,10.0474903962633,-0.755359045659837,24.1323719135395,0.057093468683073,-0.409066418458029
3,25.0065893663745,9.98908112669833,-0.798026525109411,28.6176840483644,0.039493859278578,-0.314783761410689
3,5.02075522524231,14.9704611226812,-0.826866423480518,22.8213072718169,0.160583987227376,-0.769339273790363
3,9.98675382150571,14.9440329580141,-0.803918579032059,22.9474651145766,0.125766912039531,-0.675554642472211
